### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217; Rice et al. 2010, ApJS, 186, 63
### Please cite the above references if you use  
### or display this data in your publication.
### GL 577BC -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2969429      0.95733296
       1.2969614      0.96273638
       1.2969799      0.97652182
       1.2969983      0.97104522
       1.2970168      0.97337326
       1.2970353      0.96934787
       1.2970538      0.97038642
       1.2970722      0.97363256
       1.2970907      0.97088705
       1.2971092      0.97641980
       1.2971277      0.97368030
       1.2971462      0.97253021
       1.2971646      0.97375661
       1.2971831       1.0031513
       1.2972016      0.97682378
       1.2972201      0.94676192
       1.2972385      0.92025120
       1.2972570      0.87310859
       1.2972755      0.83791668
       1.2972940      0.86135515
       1.2973125      0.90973993
       1.2973309      0.93460100
       1.2973494      0.93716713
       1.2973679      0.93645465
       1.2973864      0.91001010
       1.2974048      0.90283078
       1.2974233      0.91331931
       1.2974418      0.94862882
       1.2974603      0.96030129
       1.2974787      0.97417118
       1.2974972      0.97282314
       1.2975157      0.97861801
       1.2975342      0.98066731
       1.2975527      0.97807275
       1.2975711      0.97521861
       1.2975896      0.97591657
       1.2976081      0.97194774
       1.2976266      0.96839030
       1.2976450      0.97145363
       1.2976634      0.96657166
       1.2976819      0.97425404
       1.2977004      0.97126158
       1.2977189      0.96698937
       1.2977373      0.96560397
       1.2977558      0.95947044
       1.2977743      0.94637093
       1.2977928      0.94445719
       1.2978114      0.93942087
       1.2978298      0.93086845
       1.2978483      0.92644266
       1.2978668      0.91689439
       1.2978853      0.90000359
       1.2979038      0.89282784
       1.2979222      0.89571732
       1.2979407      0.91567428
       1.2979592      0.92239502
       1.2979777      0.93459097
       1.2979961      0.93830891
       1.2980146      0.94193105
       1.2980331      0.94740366
       1.2980516      0.95694078
       1.2980700      0.95855565
       1.2980885      0.96928781
       1.2981070      0.96577526
       1.2981255      0.96924677
       1.2981440      0.97896520
       1.2981624      0.97331557
       1.2981809      0.96614828
       1.2981994      0.97268020
       1.2982179      0.96537668
       1.2982363      0.95243490
       1.2982548      0.95241238
       1.2982733      0.96473456
       1.2982918      0.96257273
       1.2983103      0.96631505
       1.2983287      0.96324182
       1.2983472      0.96873863
       1.2983657      0.96832926
       1.2983842      0.96444798
       1.2984026      0.97046665
       1.2984211      0.96329951
       1.2984396      0.97116576
       1.2984581      0.96979550
       1.2984766      0.96660846
       1.2984950      0.96183544
       1.2985135      0.95949574
       1.2985320      0.95015137
       1.2985505      0.96181007
       1.2985689      0.96714326
       1.2985874      0.97146848
       1.2986059      0.96842783
       1.2986244      0.97786826
       1.2986428      0.97995627
       1.2986614      0.98228592
       1.2986799      0.97519089
       1.2986984      0.98060985
       1.2987169      0.98004271
       1.2987354      0.98473850
       1.2987538      0.98521620
       1.2987723      0.98826896
       1.2987908      0.99491292
       1.2988093      0.99783664
       1.2988277      0.98782707
       1.2988462      0.98975698
       1.2988647      0.99289626
       1.2988832      0.99417896
       1.2989017      0.99136137
       1.2989201      0.99211331
       1.2989386      0.99597376
       1.2989571      0.98923302
       1.2989756      0.99568442
       1.2989940      0.98566114
       1.2990125      0.99065451
       1.2990310      0.98877634
       1.2990495      0.99058278
       1.2990679      0.98837153
       1.2990864      0.98998057
       1.2991049      0.99133524
       1.2991234      0.99331514
       1.2991419      0.99074314
       1.2991603      0.99552715
       1.2991788      0.99320457
       1.2991973      0.99955334
       1.2992158      0.98860077
       1.2992342      0.98443094
       1.2992527      0.98820695
       1.2992712      0.98835223
       1.2992897      0.98816125
       1.2993082      0.98390942
       1.2993266      0.98250945
       1.2993451      0.98129121
       1.2993636      0.98524422
       1.2993821      0.97357287
       1.2994005      0.95382542
       1.2994190      0.91825512
       1.2994375      0.86641874
       1.2994560      0.86650552
       1.2994745      0.91269152
       1.2994929      0.95810761
       1.2995115      0.98679850
       1.2995300      0.97512149
       1.2995485      0.97809701
       1.2995670      0.97886623
       1.2995854      0.98889489
       1.2996039      0.98501870
       1.2996224      0.98359253
       1.2996409      0.97943716
       1.2996593      0.99147073
       1.2996778      0.97646331
       1.2996963      0.95316677
       1.2997148      0.92092436
       1.2997333      0.92256570
       1.2997517      0.94970496
       1.2997702      0.98894064
       1.2997887       1.0004975
       1.2998072      0.99456059
       1.2998256      0.99352415
       1.2998441      0.98771867
       1.2998626      0.99414663
       1.2998811      0.98651220
       1.2998996      0.98901599
       1.2999180      0.98832042
       1.2999365      0.98716040
       1.2999550      0.98191006
       1.2999735      0.98534903
       1.2999919      0.97866476
       1.3000104      0.97514522
       1.3000289      0.98192112
       1.3000474      0.98316021
       1.3000658      0.97885814
       1.3000843      0.97826545
       1.3001028      0.96871759
       1.3001213      0.97502963
       1.3001398      0.97167788
       1.3001582      0.97686350
       1.3001767      0.97565806
       1.3001952      0.97645288
       1.3002137      0.96680915
       1.3002321      0.96743514
       1.3002506      0.96608806
       1.3002691      0.96830624
       1.3002876      0.96393056
       1.3003061      0.96860558
       1.3003245      0.95965720
       1.3003430      0.96199956
       1.3003615      0.95319937
       1.3003801      0.92224515
       1.3003986      0.86285179
       1.3004170      0.82423175
       1.3004355      0.84102227
       1.3004540      0.90886657
       1.3004725      0.95188445
