### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     Wolf 359 -- NIRSPEC-3 Filter, dispersion order 58
### lambda (microns)   Flambda (Normalized)
       1.3220193      0.96320313
       1.3220381      0.96567506
       1.3220569      0.94417081
       1.3220759      0.92205617
       1.3220947      0.92101534
       1.3221136      0.92613633
       1.3221324      0.94069357
       1.3221513      0.94707787
       1.3221702      0.94661517
       1.3221890      0.94552152
       1.3222080      0.95004100
       1.3222268      0.93443031
       1.3222456      0.92517495
       1.3222645      0.92122098
       1.3222834      0.92075174
       1.3223022      0.92298718
       1.3223210      0.93643581
       1.3223400      0.92672008
       1.3223588      0.92509549
       1.3223776      0.91903929
       1.3223966      0.92388547
       1.3224154      0.93999765
       1.3224342      0.92533432
       1.3224531      0.92599378
       1.3224720      0.93950177
       1.3224909      0.94070291
       1.3225097      0.92174163
       1.3225287      0.90035703
       1.3225475      0.90233401
       1.3225663      0.91799938
       1.3225852      0.93637739
       1.3226041      0.94258175
       1.3226230      0.94181526
       1.3226418      0.94750785
       1.3226607      0.95262966
       1.3226796      0.96059777
       1.3226984      0.96856588
       1.3227172      0.97653398
       1.3227362      0.98450209
       1.3227550      0.99174694
       1.3227739      0.99252979
       1.3227928      0.99331264
       1.3228117      0.99409549
       1.3228305      0.99487833
       1.3228495      0.99566118
       1.3228683      0.99644403
       1.3228871      0.99722688
       1.3229060      0.99854954
       1.3229249      0.99022565
       1.3229437      0.98382732
       1.3229626      0.97196075
       1.3229815      0.95628977
       1.3230004      0.95386411
       1.3230192      0.97264779
       1.3230380      0.95422168
       1.3230570      0.94518741
       1.3230758      0.93615315
       1.3230947      0.92711888
       1.3231136      0.91808461
       1.3231325      0.90905035
       1.3231513      0.87669726
       1.3231702      0.88547590
       1.3231891      0.90310190
       1.3232079      0.91701043
       1.3232267      0.90566357
       1.3232457      0.88794643
       1.3232645      0.88849653
       1.3232834      0.89251266
       1.3233023      0.90152359
       1.3233212      0.91985158
       1.3233400      0.92147243
       1.3233588      0.91235493
       1.3233778      0.91974455
       1.3233966      0.94483915
       1.3234155      0.95506525
       1.3234344      0.95501331
       1.3234532      0.96007442
       1.3234721      0.96513552
       1.3234910      0.97019663
       1.3235099      0.97525773
       1.3235287      0.97943918
       1.3235475      0.97943918
       1.3235665      0.97943918
       1.3235853      0.97943918
       1.3236042      0.97943918
       1.3236230      0.97943918
       1.3236419      0.97943918
       1.3236607      0.97943918
       1.3236795      0.97943918
       1.3236985      0.97943918
       1.3237173      0.97943918
       1.3237361      0.97943918
       1.3237551      0.97943918
       1.3237739      0.97943918
